「Heeeeeeeyyy!!」	「おーはーよーーー！」	Heeeeeeeyyy!!	「おっはよーーー！」
「After all, doesn't a hot cup of tea help you enjoy a good book?」	「それに、温かいお茶があると読書も捗るでしょう？」	After all, doesn't a hot cup of tea help you enjoy a good book?	「それに、温かいお茶があると読書も捗るでしょう？」
「Ah... I-I guess...」	「ああ……そ、そうだな……」	Ah... I-I guess...	「ああ……そ、そうだな……」
「Ehehe, don't let yourself get intimidated, Yuri's just trying to impress you.」	「えへへ、そんなに怯えなくてもいいわ。ユリはただあなたの関心を引こうとしてるだけよ」	Ehehe, don't let yourself get intimidated, Yuri's just trying to impress you.	「ふふふ、そんなにびくびくしなくてもいいわ。ユリはただあなたの関心を引こうとしてるだけよ」
「Eh?! T-That's not...」	「え、そ、そんなこと……」	Eh?! T-That's not...	「え、そ、そんなこと……」
Insulted, Yuri looks away.	からかわれて、ユリはそっぽを向く。	Insulted, Yuri looks away.	からかわれて、ユリはそっぽを向く。
「I meant that, you know...」	「私はただ、その……」	I meant that, you know...	「私はただ、その……」
「I believe you.」	「分かってるよ」	I believe you.	「わかってるよ」
「Well, tea and reading might not be a pastime for me, but I at least enjoy tea.」	「まあ、お茶を飲みながらの読書は馴染みのない習慣だが、お茶は普通に好きだから」	Well, tea and reading might not be a pastime for me, but I at least enjoy tea.	「まあ、お茶を飲みながら本なんて読まないけどさ、お茶は普通に好きだから」
「I'm glad...」	「良かった……」	I'm glad...	「うれしいです……」
Yuri faintly smiles to herself in relief.	ユリはほっとしたようにかすかに微笑んでいる。	Yuri faintly smiles to herself in relief.	ユリはほっとしたように小さく微笑んだ。
Monika raises an eyebrow, then smiles at me.	モニカは眉を上げ、そして微笑んできた。	Monika raises an eyebrow, then smiles at me.	モニカは眉を上げ、そして笑顔を向けた。
「So, what made you consider the Literature Club?」	「そういえば、あなたはどうして文芸部に入ろうと思ったの？」	So, what made you consider the Literature Club?	「そういえば、あなたはどうして文芸部に入ろうと思ったの？」
「Um...」	「えぇと……」	Um...	「その……」
I was afraid of this question.	俺はこの質問が来るのを恐れていた。	I was afraid of this question.	俺はこの質問が来るのを恐れていた。
Something tells me I shouldn't tell Monika that I was practically dragged here by Sayori.	実はサヨリに引きずられて来た、だなんて言うべきではない気がする。	Something tells me I shouldn't tell Monika that I was practically dragged here by Sayori.	実はサヨリに引っ張って来られたんだ、だなんて言うべきではない気がする。
「Well, I haven't joined any clubs yet, and Sayori seemed really happy here, so...」	「まあ、まだ部活に入ってないし、それにサヨリがこの部活ですごく楽しそうにしてるみたいだから……」	Well, I haven't joined any clubs yet, and Sayori seemed really happy here, so...	「まあ、まだ部活に入ってないし、それにサヨリがこの部活ですごく楽しそうにしてるみたいだから……」
「That's okay! Don't be embarrassed!」	「それでいいのよ！ 恥ずかしがらないで！」	That's okay! Don't be embarrassed!	「それでいいのよ。 恥ずかしがらないで！」
「We'll make sure you feel right at home, okay?」	「あなたが居心地がいいって感じられるようにしてみせるから」	We'll make sure you feel right at home, okay?	「あなたが居心地がいいなって感じられるようにしてみせるから」
「As president of the Literature Club, it's my duty to make the club fun and exciting for everyone!」	「文芸部の部長として、部室を楽しくてワクワクするような場所にするのは私の義務だからね！」	As president of the Literature Club, it's my duty to make the club fun and exciting for everyone!	「部室を楽しくワクワクする場所にするのは、文芸部部長としての義務だからね！」
「Monika, I'm surprised.」	「モニカ、驚いたよ」	Monika, I'm surprised.	「でも、驚いたよ」
「How come you decided to start your own club?」	「どうして自分の部を立ち上げようと思ったんだ？」	How come you decided to start your own club?	「どうして自分で部を立ち上げようと思ったんだ？」
「You could probably be a board member for any of the major clubs.」	「モニカならどんなメジャーな部でも幹部になれただろうに」	You could probably be a board member for any of the major clubs.	「モニカならどんなメジャーな部でも幹部になれただろうに」
「Weren't you a leader of the debate club last year?」	「去年はディベート部の部長じゃなかったっけ？」	Weren't you a leader of the debate club last year?	「去年はディベート部の部長じゃなかったっけ？」
「Ahaha, well, you know...」	「あはは、まあ、そうだったんだけど……」	Ahaha, well, you know...	「ふふ、まあ、そうだったんだけど……」
「To be honest, I can't stand all of the politics around the major clubs.」	「正直に言うと、大きな部の部内政治にもううんざりだったの」	To be honest, I can't stand all of the politics around the major clubs.	「正直に言うと、大きな部の部内政治にもううんざりしてね」
「It feels like nothing but arguing about the budget and publicity and how to prepare for events...」	「予算か宣伝かイベントのことしか話していない気がしてね」	It feels like nothing but arguing about the budget and publicity and how to prepare for events...	「予算か宣伝かイベントのことしか話さないの」
「I'd much rather take something I personally enjoy and make something special out of it.」	「そんなことをしてるより、自分が好きなものを通して特別な何かを作りたかったの」	I'd much rather take something I personally enjoy and make something special out of it.	「そんなことより、自分が好きなものを通して特別な何かをつくりたくて」
「And if it encourages others to get into literature, then I'm fulfilling that dream!」	「それで誰かを文学の道に引き込めたなら、本望よ」	And if it encourages others to get into literature, then I'm fulfilling that dream!	「それで誰かを文芸の道に引き込めたなら、本望よ」
「Monika really is a great leader!」	「モニカちゃんは最高のリーダーだよ！」	Monika really is a great leader!	「モニカちゃんは、最高のリーダーだよ！」
Yuri also nods in agreement.	ユリも同意して頷いている。	Yuri also nods in agreement.	ユリも同意してうなずいている。
「Then I'm surprised there aren't more people in the club yet.」	「それにしても部員が少ないことに驚いたよ」	Then I'm surprised there aren't more people in the club yet.	「それにしても、部員が少ないことに驚いたよ」
「It must be hard to start a new club.」	「新しい部活を始めるのは大変だったろうな」	It must be hard to start a new club.	「新しい部活を始めるのは大変だったろうな」
「You could put it that way.」	「そうかもしれないわね」	You could put it that way.	「そうかもしれないわね」
「Not many people are very interested in putting out all the effort to start something brand new...」	「新しいことを始めることに興味がある人が多いわけではないから……」	Not many people are very interested in putting out all the effort to start something brand new...	「新しいことを始めるのに興味がある人が多いわけではないから……」
「Especially when it's something that doesn't grab your attention, like literature.」	「文学みたいに興味を惹かれないものだと、特にね」	Especially when it's something that doesn't grab your attention, like literature.	「文芸みたいに興味を引かれないものだと、特にね」
「You have to work hard to convince people that you're both fun and worthwhile.」	「みんなに楽しくて価値のあるものだと思わせないといけないわけで」	You have to work hard to convince people that you're both fun and worthwhile.	「みんなに楽しくて価値のあるものだと思わせないといけないから」
「But it makes school events, like the festival, that much more important.」	「そうなると文化祭のようなイベントは更に重要になってくるわね」	But it makes school events, like the festival, that much more important.	「そうなると、文化祭のようなイベントはより重要になってくるわ」
「I'm confident that we can all really grow this club before we graduate!」	「私は卒業するまでにはこの部をみんなでもっと大きくできる自信があるわ」	I'm confident that we can all really grow this club before we graduate!	「私が卒業するまでに、この部をみんなでもっと大きくするの」
「Right, everyone?」	「でしょ、みんな？」	Right, everyone?	「でしょ、みんな？」
「Yeah!」	「うんっ！」	Yeah!	「いいね！」
「We'll do our best.」	「最善を尽くします」	We'll do our best.	「最善を尽くします」
「You know it!」	「当たり前でしょ」	You know it!	「当たり前でしょ」
Everyone enthusiastically agrees.	みんながみんな熱意を持って同意する。	Everyone enthusiastically agrees.	みんながみんな熱意を持って同意する。
Such different girls, all interested in the same goal...	こんなにも違う女の子たちが、みんな一つの目標を目指しているとは……	Such different girls, all interested in the same goal...	こんなにタイプの異なる女の子たちが、一つの目標を目指しているとは……
Monika must have worked really hard just to find these three.	この３人を集めるのにモニカは相当苦労しただろう。	Monika must have worked really hard just to find these three.	この３人を集めるのだって、モニカは相当苦労しただろう。
Maybe that's why they were all so delighted by the idea of a new member joining.	だからこんなに新入部員を大いに歓迎しているのだろうか。	Maybe that's why they were all so delighted by the idea of a new member joining.	だからこんなに新入部員を歓迎しているのだろうか。
Though I still don't really know if I can keep up with their level of enthusiasm about literature...	ただ俺が彼女らと同じレベルで文学に熱意を持てるかどうかまだ分からない。	Though I still don't really know if I can keep up with their level of enthusiasm about literature...	でも、俺がみんなと同じレベルで文芸部に熱意を持てるだろうか？
「So, [player], what kinds of things do you like to read?」	「あの、[player]さんは普段どんな本を読まれるんですか？」	So, [player], what kinds of things do you like to read?	「あの、[player]さんは普段どんな本を読まれるんですか？」
「Well... Ah...」	「ええ、ああ……」	Well... Ah...	「ええ、ああ……」
Considering how little I've read these past few years, I don't really have a good way of answering that.	ここ数年ほとんど本を読んでいないので、なんと答えれば良いのか思いつかない。	Considering how little I've read these past few years, I don't really have a good way of answering that.	ここ数年まともに本を読んでいないので、何て答えればいいのかさえ思いつかない。
「...Manga...」	「……マンガ……とか」	...Manga...	「……マンガ……とか」
I mutter quietly to myself, half-joking.	冗談交じりに呟く。	I mutter quietly to myself, half-joking.	冗談交じりに呟く。
Natsuki's head suddenly perks up.	ナツキの頭がピクンと反応した。	Natsuki's head suddenly perks up.	ナツキがピクンと反応した。
It looks like she wants to say something, but she keeps quiet.	何か言いたげだが、黙っている。	It looks like she wants to say something, but she keeps quiet.	何か言いたげだが、黙っている。
「N-Not much of a reader, I guess...」	「あ、あまり読書家ではないのですね……」	N-Not much of a reader, I guess...	「あ、あまり読書家ではないのですね……」
「...Well, that can change...」	「……今後の変化の余地はある……」	...Well, that can change...	「……まあ、変化の余地はあるし……」
What am I saying?	俺は何を言っているんだろう。	What am I saying?	俺は何を言っているんだろう。
I spoke without thinking after seeing Yuri's sad smile.	ユリが悲しそうに笑ってたから考えなしに言ってしまった。	I spoke without thinking after seeing Yuri's sad smile.	ユリが悲しそうに笑っていたから考えなしに言ってしまった。
「Anyway, what about you, Yuri?」	「それより、ユリはどんな本を読むんだ？」	Anyway, what about you, Yuri?	「それよりさ、ユリはどんな本を読むんだ？」
「Well, let's see...」	「ええとですね……」	Well, let's see...	「そうですね……」
Yuri traces the rim of her teacup with her finger.	ユリは指先でティーカップのふちをなぞる。	Yuri traces the rim of her teacup with her finger.	ユリは指先でティーカップのふちをなぞる。
「My favorites are usually novels that build deep and complex fantasy worlds.」	「私は重厚で複雑な世界観を持ったファンタジーが好きなんです」	My favorites are usually novels that build deep and complex fantasy worlds.	「私は重厚で複雑な世界観を持ったファンタジーが好きなんです」
「The level of creativity and craftsmanship behind them is amazing to me.」	「その世界観を支える創造性や職人芸の凄さといったら、目を見張るものがあるんですよ」	The level of creativity and craftsmanship behind them is amazing to me.	「その世界観を支える創造性や職人芸のすごさといったら、目を見張るものがあるんですよ」
「And telling a good story in such a foreign world is equally impressive.」	「そのような異世界で語られる素敵なストーリーもまた、とても感動的なんです」	And telling a good story in such a foreign world is equally impressive.	「そのような異世界で語られるストーリーもまた、とても感動的なんです」
Yuri goes on, clearly passionate about her reading.	ユリは読書について、とても情熱的に語り続けた。	Yuri goes on, clearly passionate about her reading.	ユリは読書について、とても情熱的に語り続けた。
She seemed so reserved and timid since the moment I walked in, but it's obvious by the way her eyes light up that she finds her comfort in the world of books, not people.	俺が入室した瞬間から控えめでおどおどした様子だった彼女の目が急にぱっと明るくなったことから察するに、彼女は人より本の世界に安らぎを見出すのだろう。	She seemed so reserved and timid since the moment I walked in, but it's obvious by the way her eyes light up that she finds her comfort in the world of books, not people.	俺が入室した瞬間から控えめでおどおどした様子だった彼女の目が、急にぱっと明るくなった。彼女は、人より本の世界に安らぎを見出すらしい。
「But you know, I like a lot of things.」	「でもね、他にも様々なものが好きですよ」	But you know, I like a lot of things.	「でも、他にも好きなものはたくさんありますよ」
「Stories with deep psychological elements usually immerse me as well.」	「奥深い心理的要素を含む物語には思わず夢中になってしまいますね」	Stories with deep psychological elements usually immerse me as well.	「奥深い心理描写がつづられた物語には、思わず夢中になってしまいます」
「Isn't it amazing how a writer can so deliberately take advantage of your own lack of imagination to completely throw you for a loop?」	「作家が読者の想像力不足を逆手に取って驚かせにくるなんて凄いですよね？」	Isn't it amazing how a writer can so deliberately take advantage of your own lack of imagination to completely throw you for a loop?	「作家が読者の想像力不足を逆手に取って驚かせにくるなんて、すごいですよね？」
「Anyway, I've been reading a lot of horror lately...」	「でも最近よく読んでるのはホラーなんです……」	Anyway, I've been reading a lot of horror lately...	「ああ、でも最近よく読んでるのはホラーなんです……」
「Ah, I read a horror book once...」	「ああ、ホラーなら俺も一度読んだことがあるな」	Ah, I read a horror book once...	「ああ、ホラーなら俺も一度読んだことがあるよ」
I desperately grasp something I can relate to at the minimal level.	俺は低レベルな自分が乗っかれる話題を必死になってつかむ。	I desperately grasp something I can relate to at the minimal level.	低レベルな自分が乗っかれる話題を必死になってつかもうとする。
At this rate, Yuri might as well be having a conversation with a rock.	こんな調子じゃ、ユリは石とでも会話しておいたほうがマシだ。	At this rate, Yuri might as well be having a conversation with a rock.	こんなんじゃ、ユリは石とでも話している方がマシかもしれない。
「Really? I wouldn't have expected that, Yuri.」	「本当に？ ユリがホラー好きだなんて意外だわ」	Really? I wouldn't have expected that, Yuri.	「本当に？ ユリがホラー好きだなんて意外だわ」
「For someone as gentle as you...」	「こんな穏やかな人がホラーを読むとはねえ……」	For someone as gentle as you...	「こんな穏やかな人がホラーを読むとはねえ……」
「I guess you could say that.」	「そうかもしれませんね」	I guess you could say that.	「そうかもしれませんね」
「But if a story makes me think, or takes me to another world, then I really can't put it down.」	「でも作品に考えさせられたり、異世界に連れて行かれたりすると、本当に止まらなくなってしまいます」	But if a story makes me think, or takes me to another world, then I really can't put it down.	「でも、考えさせられたり、異世界に連れて行かれたりする作品は、読みだすと本当に止まらなくなってしまいます」
「Surreal horror is often very successful at changing the way you look at the world, if only for a brief moment.」	「シュールレアリスムホラーなんて、少しの間だけかもしれませんが、世界の見え方が変わってしまうことだってありますからね」	Surreal horror is often very successful at changing the way you look at the world, if only for a brief moment.	「シュールレアリスムホラーなんて、少しの間だけかもしれませんが、世界の見え方が変わってしまうんですよ」
「Ugh, I hate horror...」	「うう……わたしホラーは苦手……」	Ugh, I hate horror...	「うう……。アタシ、ホラーは苦手……」
「Oh? Why's that?」	「あら、どうしてですか？」	Oh? Why's that?	「あら、どうしてですか？」
「Well, I just...」	「だって、わたし……」	Well, I just...	「だって、アタシ……」
Natsuki's eyes dart over to me for a split second.	ナツキの目が一瞬こちらに向けられた。	Natsuki's eyes dart over to me for a split second.	ナツキの目が一瞬こちらに向けられた。
「Never mind.」	「なんでもない」	Never mind.	「何でもない」
「That's right, you usually like to write about cute things, don't you, Natsuki?」	「確かに、ナツキはかわいいことを書くのが好きだものね。そうでしょ？」	That's right, you usually like to write about cute things, don't you, Natsuki?	「確かに、ナツキはかわいいことを書くのが好きだものね。そうでしょ？」
「W-What?」	「は、はあ？」	W-What?	「は、はあ？」
「What gives you that idea?」	「どうしてそう思うのよ！？」	What gives you that idea?	「何それ、そ、そんなわけないでしょ！？」
「You left a piece of scrap paper behind last club meeting.」	「前の部活の時、ナツキが下書きの紙を置き忘れてて」	You left a piece of scrap paper behind last club meeting.	「前回の部活の時、ナツキが下書きの紙を置き忘れてて」
「It looked like you were working on a poem called--」	「どうやら詩を書いてたみたいね。タイトルは――」	It looked like you were working on a poem called--	「どうやら詩を書いてたみたいね。タイトルは――」
「Don't say it out loud!!」	「読むなー！！」	Don't say it out loud!!	「言うなー！！」
「And give that back!」	「それとその紙返して！」	And give that back!	「あと、その紙返して！」
「Fine, fine~」	「はいはい～」	Fine, fine~	「はいは～い」
「Ehehe, your cupcakes, your poems...」	「えへへ、ナツキちゃんのカップケーキにナツキちゃんの詩……」	Ehehe, your cupcakes, your poems...	「えへへ、カップケーキに、詩……」
「Everything you do is just as cute as you are~」	「ナツキちゃんはやることまでぜんぶかわいいなあ～」	Everything you do is just as cute as you are~	「ナツキちゃんってば、ホント全部かわいいなあ～」
Sayori sidles up behind Natsuki and puts her hands on her shoulders.	サヨリはナツキの後ろにサッと移動して、ナツキの肩に両手を置いた。	Sayori sidles up behind Natsuki and puts her hands on her shoulders.	サヨリはナツキの後ろにサッと移動して、ナツキの肩に両手を置いた。
「<i>I'm not cute!!</i>」	「<i>かわいくない！！</i>」	<i>I'm not cute!!</i>	「<i>アタシ、かわいくなんかないし！</i>」
「Natsuki, you write your own poems?」	「ナツキって詩を書くのか？」	Natsuki, you write your own poems?	「詩を書くのか？」
「Eh? Well, I guess sometimes.」	「え？ まあ、たまにね」	Eh? Well, I guess sometimes.	「え？ まあ、たまにね」
「Why do you care?」	「なんか問題ある？」	Why do you care?	「何よ、なんか問題ある？」
「I think that's impressive.」	「いやあ、凄いなあって」	I think that's impressive.	「いや、スゴいなあって」
「Why don't you share them sometime?」	「他の人に見せたりしないのか？」	Why don't you share them sometime?	「人に見せたりしないのか？」
「N-No!」	「い、嫌よ！」	N-No!	「し、しないわよ！」
Natsuki averts her eyes.	ナツキは目を逸らした。	Natsuki averts her eyes.	ナツキは目をそらした。
「You wouldn't...like them...」	「そんな……気に入られるようなものでもないし……」	You wouldn't...like them...	「そんな……気に入られるようなものでもないし……」
「Ah...not a very confident writer yet?」	「ああ……まだあまり自信はない感じか」	Ah...not a very confident writer yet?	「ああ……まだあんまり自信はない感じか」
「I understand how Natsuki feels.」	「ナツキちゃんの感じていること、分かります」	I understand how Natsuki feels.	「ナツキちゃんの感じていること、わかります」
「Sharing that level of writing takes more than just confidence.」	「その手の文章を見せるのって、自信以上のものが必要なんですよ」	Sharing that level of writing takes more than just confidence.	「その手の文章を見せるのって、自信以上のものが必要なんですよ」
「The truest form of writing is writing to oneself.」	「自分に向けられた書きものこそが、真の書きものだから」	The truest form of writing is writing to oneself.	「自分に向けられた書きものこそが、真の書きものだから」
「You must be willing to open up to your readers, exposing your vulnerabilities and showing even the deepest reaches of your heart.」	「そういったものを見せる時は、読者に対して心を開いて、自分の弱さを晒し、自分の心の最も深いところすら見せるつもりでいなければいけないのですよ」	You must be willing to open up to your readers, exposing your vulnerabilities and showing even the deepest reaches of your heart.	「そういったものを見せる時は、読者に対して心を開いて、自分の弱さを晒し、心の最も深いところすら見せるつもりでいなければいけないのですよ」
「Do you have writing experience too, Yuri?」	「ユリも執筆の経験があるの？」	Do you have writing experience too, Yuri?	「ユリも執筆の経験があるの？」
「Maybe if you share some of your work, you can set an example and help Natsuki feel comfortable enough to share hers.」	「きっとユリが自分の作品を見せれば、いい見本になって、ナツキが自分のを見せる時に気が楽になるんじゃないかしら？」	Maybe if you share some of your work, you can set an example and help Natsuki feel comfortable enough to share hers.	「ユリが自分の作品を見せれば、いい見本になって、ナツキが自分のを見せる時に気が楽になるんじゃないかしら？」
「...」	「……」	...	「……」
「I guess it's the same for Yuri...」	「どうやらユリもナツキと同じみたいだな」	I guess it's the same for Yuri...	「どうやらユリもナツキと同じみたいだな」
「Aww... I wanted to read everyone's poems...」	「あうー……みんなの詩、読みたかったなあ……」	Aww... I wanted to read everyone's poems...	「あうー……みんなの詩、読みたかったなあ……」
We all sit in silence for a moment.	みんな少しの間黙り込んだ。	We all sit in silence for a moment.	しばしの沈黙。
「Okay!」	「オッケー！」	Okay!	「そうだ！」
「I have an idea, everyone~」	「みんな、一つ考えがあるわ！」	I have an idea, everyone~	「みんな、良い考えがあるわ！」
「...?」	「……？」	...?	「……？」
Natsuki and Yuri look quizzically at Monika.	ナツキとユリはいぶかしげにモニカを見た。	Natsuki and Yuri look quizzically at Monika.	ナツキとユリはいぶかしげにモニカを見た。
「Let's all go home and write a poem of our own!」	「家に帰って、自分の詩を書きましょう！」	Let's all go home and write a poem of our own!	「課題として、詩を書きましょう！」
「Then, next time we meet, we'll all share them with each other.」	「そして、次に会う時に、みんなお互いに見せ合いっこしましょう」	Then, next time we meet, we'll all share them with each other.	「そして次に会う時、お互いに見せ合いっこするの」
「That way, everyone is even!」	「そうすれば、みんな平等でしょ？」	That way, everyone is even!	「そしたら、みんな平等でしょ？」
「U-Um...」	「う、うーん……」	U-Um...	「その……」
「...」	「……」	...	「……」
「Yeaaah! Let's do it!」	「いえーーい！ やってみようよ！」	Yeaaah! Let's do it!	「いえーーい！ やってみようよ！」
「Plus, now that we have a new member, I think it will help us all get a little more comfortable with each other, and strengthen the bond of the club.」	「それと、新入部員も入ったことだし、お互いをもっとよく知ったり、絆を深めたりする良い機会になると思うわ」	Plus, now that we have a new member, I think it will help us all get a little more comfortable with each other, and strengthen the bond of the club.	「それに新入部員も入ったことだし、お互いをもっとよく知ったり、絆を深めたりする良い機会になると思うわ」
「Isn't that right, [player]?」	「そうでしょ、[player]君？」	Isn't that right, [player]?	「そうでしょ、[player]君？」
Monika smiles warmly at me once again.	モニカはまた暖かく微笑んだ。	Monika smiles warmly at me once again.	モニカはまた優しく微笑んだ。
「Hold on...there's still one problem.」	「ちょっと待ってくれ……一つ問題がある」	Hold on...there's still one problem.	「ちょっと待ってくれ……一つ問題がある」
「Eh? What's that?」	「え？ なにかしら？」	Eh? What's that?	「え？ 何かしら？」
Now that we're back to the original topic of me joining the club, I bluntly come forth with what's been on my mind the entire time.	やっと俺が入部する話に戻ってきたところで、ずっと思っていた事をぶっきらぼうに口にする。	Now that we're back to the original topic of me joining the club, I bluntly come forth with what's been on my mind the entire time.	やっと俺が入部する話に戻ってきたところで、はっきりと口にする。
「I never said I would join this club!」	「俺、入部するなんて一言も言ってないぞ！」	I never said I would join this club!	「俺、入部するなんて一言も言ってないぞ！」
「Sayori may have convinced me to stop by, but I never made any decision.」	「サヨリに説得されて寄っただけで、まだ何も決めてない」	Sayori may have convinced me to stop by, but I never made any decision.	「俺は、サヨリに説得されてここに寄っただけで、まだ何も決めてない」
「I still have other clubs to look at, and...um...」	「まだ見学したい部活もあるし、あと……えっと……」	I still have other clubs to look at, and...um...	「まだ見学したい部活もあるし、それにだな、……その……」
I lose my train of thought.	話そうとしていたことが飛んでしまった。	I lose my train of thought.	話そうとしていたことが飛んでしまった。
All four girls stare back at me with dejected eyes.	４人の女の子が失望の眼差しでこっちを見ている。	All four girls stare back at me with dejected eyes.	４人の女の子が、失望の眼差しで俺を見つめるのだ。
「B-But...」	「で、でも……」	B-But...	「そ、そっか……」
「I'm sorry, I thought...」	「ごめんなさい、てっきり……」	I'm sorry, I thought...	「ごめんなさい、てっきり……」
「「ふん」」	「ふん」	Hmph.	「ふん」
「[player]...」	「[player]……」	[player]...	「[player]……」
「Y-You all...」	「み、みんな……」	Y-You all...	「み、みんな……」
I...I'm defenseless against these girls.	俺は……俺はこの子たちには無力だ。	I...I'm defenseless against these girls.	こんな表情のこの子たちを前にして……俺は……どうしたらいい？
How am I supposed to make a clear-headed decision when it's like this?	こんな状況で俺が冷静な判断を下せると思うか？	How am I supposed to make a clear-headed decision when it's like this?	こんな状況で物事を冷静に判断できるわけがない。
That is, if writing poems is the price I need to pay in order to spend every day with these beautiful girls...	要するに、この子たちと毎日を過ごすために詩を書くことが必要だと言うなら……	That is, if writing poems is the price I need to pay in order to spend every day with these beautiful girls...	詩を書けば。ただそれだけで、こんなかわいい子たちと日々を過ごせるのならば……
「...Right.」	「……そうだな」	...Right.	「……それにだ、そう」
「Okay, I've decided, then.」	「よし、決めたよ」	Okay, I've decided, then.	「そう、決めたんだ」
「I'll join the Literature Club.」	「俺は文芸部に入部する！」	I'll join the Literature Club.	「俺は、文芸部に入部する！」
One by one, the girls' eyes light up.	一人ずつ、彼女たちの目が輝く。	One by one, the girls' eyes light up.	彼女たちの目が一斉に輝く。
「Yesss! I'm so happyyy~」	「やったああ！ すっごく嬉しい！」	Yesss! I'm so happyyy~	「やったああ！ すっごくうれしい！」
Sayori wraps her arms around me, jumping up and down.	サヨリは俺に腕を回し、ぴょんぴょん飛び跳ねる。	Sayori wraps her arms around me, jumping up and down.	サヨリは俺に腕を回し、ぴょんぴょん飛び跳ねる。
「H-Hey--」	「お、おい――」	H-Hey--	「お、おい――」
「You really did scare me for a moment...」	「本当にびっくりしたんですよ……？」	You really did scare me for a moment...	「本当にびっくりしたんですよ……？」
「If you really just came for the cupcakes, I would be super pissed.」	「本当にカップケーキのためだけに来てたら、超怒ってたんだからね」	If you really just came for the cupcakes, I would be super pissed.	「カップケーキのためだけに来てたんだったら、ブッ飛ばしてたんだからね」
「Then that makes it official!」	「さあ、これで正式ね！」	Then that makes it official!	「じゃあ、これで正式入部ね！」
「Welcome to the Literature Club!」	「ようこそ、文芸部へ！」	Welcome to the Literature Club!	「ようこそ、文芸部へ！」
「Ah...thanks, I guess.」	「あー、うん……ありがとう」	Ah...thanks, I guess.	「あー、うん……ありがとう」
「Okay, everyone!」	「よし、みんな！」	Okay, everyone!	「よし、みんな！」
「I think with that, we can officially end today's meeting on a good note.」	「これにて今日の部活は終了ね。お疲れさま」	I think with that, we can officially end today's meeting on a good note.	「これにて今日の部活は終了。おつかれさま！」
「Everyone remember tonight's assignment:」	「みんな今日の宿題を忘れないでね」	Everyone remember tonight's assignment:	「さっきの課題、忘れないでね」
「Write a poem to bring to the next meeting, so we can all share!」	「次回の部活で披露できるように、詩を書いて持ってくること！」	Write a poem to bring to the next meeting, so we can all share!	「次回の部活で披露できるように、詩を書いて持ってくること！」
Monika looks over at me once more.	モニカはもう一度こちらに視線を向けた。	Monika looks over at me once more.	モニカはもう一度こちらに視線を向けた。
「[player], I look forward to seeing how you express yourself.」	「[player]君が自分をどう表現するのか、楽しみにしてるわ」	[player], I look forward to seeing how you express yourself.	「[player]君が自分をどう表現するのか、楽しみにしてるわ」
「Ehehe~」	「えへへ～」	Ehehe~	「うふふ」
「Y-Yeah...」	「あ、ああ」	Y-Yeah...	「あ、ああ、うん」
Can I really impress the class star Monika with my mediocre writing skills?	俺なんかの三流の文章力で、クラスのスターだったモニカに良い印象を与えることなんてできるのだろうか？	Can I really impress the class star Monika with my mediocre writing skills?	俺なんかの三流の文章力で、クラスのスターだったモニカに良い印象を与えられるだろうか？
I already feel the anxiety welling up inside me.	俺はすでに不安が湧き上がってくるのを感じていた。	I already feel the anxiety welling up inside me.	早くも不安が押し寄せてくる。
Meanwhile, the girls continue to chit-chat as Yuri and Natsuki clean up their food.	一方で、女子たちはおしゃべりを続けていた。ユリとナツキは食べ物を片付けている。	Meanwhile, the girls continue to chit-chat as Yuri and Natsuki clean up their food.	一方、女子たちはおしゃべりを続けていた。ユリとナツキは食べ物を片付けている。
「Hey, [player], since we're already here, do you want to walk home together?」	「ねえ、[player]、どうせ今一緒なんだし、一緒に帰らない？」	Hey, [player], since we're already here, do you want to walk home together?	「ねえ、[player]、せっかくだしさ、一緒に帰らない？」
That's right - Sayori and I never walk home together anymore because she always stayed after school for clubs.	そうだ――サヨリはいつも部活で学校に残っていたので、サヨリと俺が一緒に帰ることはもうなかった。	That's right - Sayori and I never walk home together anymore because she always stayed after school for clubs.	そうだ――サヨリはいつも部活で学校に残っていたので、最近は一緒に帰ることがなかった。
「Sure, might as well.」	「ああ、そうするか」	Sure, might as well.	「ああ、そうするか」
「Yaay~」	「やった～」	Yaay~	「やった～！」
With that, the two of us depart the clubroom and make our way home.	という訳で、俺とサヨリは部室を出て、一緒に帰ることにした。	With that, the two of us depart the clubroom and make our way home.	というわけで、俺とサヨリは教室を出て、一緒に帰ることにした。
The whole way, my mind wanders back and forth between the four girls:	道中、俺は何度も４人の女の子のことを思い浮かべる。	The whole way, my mind wanders back and forth between the four girls:	帰り道、俺は何度も４人の女の子のことを思い浮かべる。
Sayori,	サヨリ、	Sayori,	サヨリ、
Natsuki,	ナツキ、	Natsuki,	ナツキ、
Yuri,	ユリ、	Yuri,	ユリ、
and, of course, Monika.	そしてもちろん、モニカ。	and, of course, Monika.	そしてもちろん、モニカ。
Will I really be happy spending every day after school in a literature club?	俺は本当に放課後を文芸部で過ごして幸せになれるのだろうか？	Will I really be happy spending every day after school in a literature club?	文芸部生活を通じて、俺は幸せになれるだろうか？
Perhaps I'll have the chance to grow closer to one of these girls...	ひょっとすると誰か一人と親密な関係になれるチャンスが訪れるかもしれない……	Perhaps I'll have the chance to grow closer to one of these girls...	ひょっとして、誰かと親密な関係になれるチャンスが訪れるかも……
Alright!	よし！	Alright!	「了解！」
