「Hi again, [player]!」	「[player]君、今日も来たのね！」	Hi again, [player]!	「やっほー、[player]君！」
「...Yeah, I'd say the same.」	「……ああ、同じく」	...Yeah, I'd say the same.	「……ああ、同じく」
「It was a neat thing to talk about with everyone.」	「みんなと交流するのには面白い題材だったよ」	It was a neat thing to talk about with everyone.	「みんなと交流するのには面白い題材だったよ」
「Awesome!」	「良かった！」	Awesome!	「良かった！」
「In that case, we'll do the same thing tomorrow.」	「それなら、明日もやってみよっか」	In that case, we'll do the same thing tomorrow.	「それなら、明日もやってみよっか」
「And maybe you learned something from your friends, too.」	「あなたもみんなから何かを学び取れたかもしれないでしょ」	And maybe you learned something from your friends, too.	「あなたもみんなから何かを学び取れたかもしれないでしょ」
「So your poems will turn out even better!」	「きっとより素敵な詩が書けるはずよ！」	So your poems will turn out even better!	「きっとより素敵な詩が書けるはずよ！」
「...」	「……」	...	「……」
I think to myself.	俺は考える。	I think to myself.	俺は考える。
I did learn a little more about the kinds of poems everyone likes.	みんながどういう系統の詩が好みなのか少し分かってきた。	I did learn a little more about the kinds of poems everyone likes.	みんながどういう系統の詩が好みなのか少しずつわかってきた。
With any luck, that means I can at least do a better job impressing those I want to impress.	運が良ければ、気になる人が感銘を受けてくれるようなものが作れるかもしれない。	With any luck, that means I can at least do a better job impressing those I want to impress.	運が良ければ、気になる人が感銘を受けてくれるようなものがつくれるかもしれない。
I nod to myself with newfound determination.	新たな決意を抱きつつ、俺は頷いた。	I nod to myself with newfound determination.	新たな決意を抱きつつ、俺はうなずいた。
「[player]!」	「[player]！」	[player]!	「[player]！」
「Ready to walk home?」	「帰りの支度できた？」	Ready to walk home?	「帰りの支度できた？」
「Sure, let's go.」	「ああ、行こっか」	Sure, let's go.	「ああ、行こっか」
「Ehehe~」	「えへへ～」	Ehehe~	「うふふ」
Sayori beams at me.	サヨリはニコニコしている。	Sayori beams at me.	サヨリはニコニコしている。
It truly has been a while since Sayori and I have spent this much time together.	サヨリと俺がこうやって一緒に過ごすのは随分久しぶりのことだった。	It truly has been a while since Sayori and I have spent this much time together.	サヨリとこうやって一緒に過ごすのは、ずいぶん久しぶりのことだった。
I can't really say I'm not enjoying it, either.	決して、俺も楽しんでない訳ではない。	I can't really say I'm not enjoying it, either.	決して、俺も楽しんでないわけではない。
「Sayori...」	「サヨリ……」	Sayori...	「……サヨリ……」
「About what happened earlier...」	「さっきの事なんだけどさ……」	About what happened earlier...	「さっきのことなんだけどさ……」
「Eh? What do you mean?」	「え？ なんのこと？」	Eh? What do you mean?	「え？ どしたの？」
「You know, between Yuri and Natsuki.」	「あー、ユリとナツキのことだ」	You know, between Yuri and Natsuki.	「あの、ユリとナツキのことだ」
「Does that kind of thing happen often?」	「ああいうことってよくあるのか？」	Does that kind of thing happen often?	「ああいうことってよくあるのか？」
「No, no, no!」	「ないないない！」	No, no, no!	「ないないない！」
「That's really the first time I've seen them fight like that...」	「あんなにケンカしてるのはわたしも初めて見たよ……」	That's really the first time I've seen them fight like that...	「あんなにケンカしてるのはわたしも初めて見たよ……」
「I promise they're both wonderful people.」	「二人ともほんと素敵な子だよ」	I promise they're both wonderful people.	「二人とも、ホント素敵な子だよ」
「You don't... You don't hate them, do you??」	「二人のこと……嫌いになんかなってない、よね？」	You don't... You don't hate them, do you??	「二人のこと……嫌いになんかなってない、よね？」
「No, I don't hate them!」	「そんな、全然嫌ってないぞ！」	No, I don't hate them!	「そんな、全然嫌ってないぞ！」
「I just wanted your opinion, that's all.」	「俺はただお前の意見を聞いてみたかっただけだ」	I just wanted your opinion, that's all.	「ただ、お前の意見を聞いてみたかっただけだよ」
「I can see why they'd make good friends with you.」	「あいつらがお前とウマが合いそうだってのは分かるんだ」	I can see why they'd make good friends with you.	「あいつらがお前とウマが合いそうだってのは、わかるんだ」
「Phew...」	「ふー……」	Phew...	「ふぅ……」
「You know, [player]...」	「あのね、[player]……」	You know, [player]...	「あのね、[player]……」
「It's nice that I get to spend time with you in the club.」	「わたし、[player]と一緒に部活できて嬉しい」	It's nice that I get to spend time with you in the club.	「わたし、[player]と一緒に部活できてうれしい」
「But I think seeing you get along with everyone is what makes me the happiest.」	「でもみんなと打ち解けてく[player]を見てるのが、わたしの一番の幸せなの」	But I think seeing you get along with everyone is what makes me the happiest.	「でもみんなと打ち解けてく[player]を見てるのが、わたしの一番の幸せなの」
「And I think everyone really likes you, too!」	「みんな、[player]のことがすっごく好きなんだもん！」	And I think everyone really likes you, too!	「みんな、[player]のことがすっごく好きなんだもん！」
「That's--!」	「それって――！」	That's--!	「えっ――！」
「Ehehe~」	「えへへ～」	Ehehe~	「うふふ」
「Every day is going to be so much fun~」	「毎日がどんどん楽しくなっちゃいそう～」	Every day is going to be so much fun~	「毎日がどんどん楽しくなっちゃいそ～」
「Sigh...」	「はあ……」	Sigh...	「はあ……」
It looks like Sayori still hasn't caught onto the kind of situation I'm in.	未だにサヨリは俺がどういう状況に置かれているか理解していないようだ。	It looks like Sayori still hasn't caught onto the kind of situation I'm in.	いまだにサヨリは、俺がどういう状況に置かれているか理解していないようだ。
Sure, being friends with everyone is nice, but...	勿論みんなと親交を深めることは良いのだが……	Sure, being friends with everyone is nice, but...	もちろん、みんなと親交を深めることは良いのだが……
...Does it really need to stop there?	……本当にそこで止めてしまって良いのだろうか？	...Does it really need to stop there?	……誰かともっと深い仲になることもあったりして……。
「We'll just have to see what the future holds, Sayori.」	「この先何が待ち構えているかは見ものだな、サヨリ」	We'll just have to see what the future holds, Sayori.	「この先どうなるか楽しみだな、サヨリ」
I pat Sayori on the shoulder.	俺はサヨリの肩をぽんと叩いた。	I pat Sayori on the shoulder.	俺はサヨリの肩をぽんと叩いた。
I said that more to myself than to her, but it's easy to use Sayori as an internal monologue sometimes.	むしろ自分自身に放った言葉だが、時にサヨリは独りごとの相手として役に立つ。	I said that more to myself than to her, but it's easy to use Sayori as an internal monologue sometimes.	むしろ自分自身に放った言葉だが、時にサヨリは独り言の相手として役に立つ。
「Okay~!」	「そうだね～！」	Okay~!	「そうだね～！」
Yeah...	それじゃあ……	Yeah...	よし……
Let's do this!	がんばるぞ！	Let's do this!	がんばるぞ！
「Um...」	「えっと……」	Um...	「その……」
「Yuri!」	「ユリ！」	Yuri!	「ユリ！」
「You're really talented.」	「お前には確かに才能がある」	You're really talented.	「お前には確かに才能がある」
「Eh? W-Well...」	「え？ そ、そう……」	Eh? W-Well...	「え？ そ、そうですか……」
「But Natsuki has a point!」	「だけどナツキの言うことも一理ある！」	But Natsuki has a point!	「だけどナツキの言うことも一理ある！」
「I think that...」	「俺が思うに……」	I think that...	「私は……」
I wrack my brain in an attempt to back myself up.	俺は頭をフル回転させて言葉を紡ごうとする。	I wrack my brain in an attempt to back myself up.	俺は頭をフル回転させて言葉を紡ごうとする。
「I think that conveying feelings with few words...」	「俺が思うに、短い言葉で感情を伝えることだって……」	I think that conveying feelings with few words...	「俺が思うに、短い言葉で感情を伝えることだって……」
「Can be just as impressive as well!」	「充分印象的になり得る！」	Can be just as impressive as well!	「十分、印象的になり得る！」
「It lets the reader's imagination take over.」	「そうすることで読み手の想像力に委ねるんだ」	It lets the reader's imagination take over.	「そうすることで読み手の想像力に委ねるんだ」
「And Natsuki's poem did a really good job at that!」	「だからナツキの詩はその点では見事な出来栄えだ」	And Natsuki's poem did a really good job at that!	「だからナツキの詩は、その点では見事な出来栄えだ！」
「...Yeah!!」	「……そうよ！」	...Yeah!!	「……そうよ！」
「It did, didn't it?!」	「そうでしょ！？」	It did, didn't it?!	「そうでしょ！？」
「Ahah!」	「やったー！」	Ahah!	「やったー！」
「Shows how much <i>you</i> know!」	「ざまあみなさい！」	Shows how much <i>you</i> know!	「<i>ざまあみなさい！</i>」
「T-That's not...」	「そ、そんな……」	T-That's not...	「そ、そんな……」
「Natsuki...」	「ナツキ……」	Natsuki...	「ナツキ……」
「I think that's enough.」	「それぐらいでいいだろ」	I think that's enough.	「それぐらいでいいだろ」
「Huh?」	「はあ？」	Huh?	「はあ？」
「Me?」	「わたし？」	Me?	「アタシ？」
「But she was so mean to me...!」	「でもユリが意地悪してきたのよ……！」	But she was so mean to me...!	「でもユリが意地悪してきたのよ……！」
Natsuki's voice whines.	ナツキは半泣きで声を上げる。	Natsuki's voice whines.	ナツキは半泣きで声を上げる。
「Look...」	「ほら……」	Look...	「ねえ……」
「What we talked about yesterday was right.」	「俺たちが昨日言っていたことは的を射ていたんだ」	What we talked about yesterday was right.	「俺たちが昨日話したことは正しかったんだ」
「Writing is a really personal thing.」	「執筆というのは本当に個人的なことで」	Writing is a really personal thing.	「執筆というのは本当に個人的なことで」
「And sharing it can definitely be hard.」	「それを共有しあうことは間違いなく難しいと言える」	And sharing it can definitely be hard.	「それを共有し合うことは間違いなく難しい」
「It looks like we learned that today.」	「俺たちは今日そんな教訓を得たんだ」	It looks like we learned that today.	「俺たちは今日そんな教訓を得たんだ」
「Even small criticism can lead to something pretty heated.」	「ちょっとした批判でもムキになってしまいかねない」	Even small criticism can lead to something pretty heated.	「ちょっとした批判でもムキになってしまいかねない」
I glance over my shoulder.	俺は自分の肩越しにちらりと後ろを見る。	I glance over my shoulder.	俺は自分の肩越しにちらりと後ろを見る。
Sayori is nodding vigorously.	サヨリがうんうんと頷いている。	Sayori is nodding vigorously.	サヨリがうんうんとうなずいている。
「Yeah, so...」	「だから、その……」	Yeah, so...	「だから、その……」
「You don't need to feel threatened.」	「お前はそんなに怯えなくても良いんじゃないかな」	You don't need to feel threatened.	「お前はそんなに怯えなくても良いんじゃないかな」
「You're a great writer, Natsuki.」	「お前は立派な書き手だからさ、ナツキ」	You're a great writer, Natsuki.	「お前は立派な書き手だからさ、ナツキ」
「Ah--」	「あっ」	Ah--	「えっと……」
Natsuki's voice gets caught in surprise.	ナツキは意外そうな声を出す。	Natsuki's voice gets caught in surprise.	ナツキは意外そうな声を出す。
「...Thanks for noticing.」	「……教えてくれてありがと」	...Thanks for noticing.	「……教えてくれてありがと」
She finally mutters that, barely audible.	辛うじて聞き取れる声で彼女はそう呟いた。	She finally mutters that, barely audible.	辛うじて聞き取れる声で彼女はそう呟いた。
「Yuri...」	「ユリ……」	Yuri...	「ユリ……」
「...?」	「……？」	...?	「……？」
Yuri looks at me dejectedly.	ユリはしょげた様子で俺を見る。	Yuri looks at me dejectedly.	ユリはしょげた様子で俺を見る。
With a face like that, I can't help but feel bad for her as well.	その面持ちを見ると、余計に罪悪感を感じてしまう。	With a face like that, I can't help but feel bad for her as well.	その面持ちを見ると、余計に罪悪感を感じてしまう。
「I'm sure that Natsuki didn't mean everything she said.」	「ナツキはきっと本気で言った訳じゃないと思うぞ」	I'm sure that Natsuki didn't mean everything she said.	「ナツキはきっと本気で言ったわけじゃないと思うぞ」
「So you don't need to feel threatened, either.」	「だからお前もそんなに怯えなくて大丈夫だ」	So you don't need to feel threatened, either.	「だからお前もそんなに怯えなくて大丈夫だ」
「Well...」	「はい……」	Well...	「今度は……」
「If you say so...」	「あなたがそう言うのでしたら……」	If you say so...	「そっか……」
「Hey...!」	「ねえ……！」	Hey...!	「ねえ……！」
「It's not like you need to apologize <i>for</i> me, [player].」	「わたしの代わりに謝らなくていいじゃない、[player]」	It's not like you need to apologize <i>for</i> me, [player].	「アタシの<i>代わりに</i>謝らなくていいじゃない、[player]」
「Sheesh.」	「ったく」	Sheesh.	「まったく……」
Natsuki takes a breath.	ナツキは息をついた。	Natsuki takes a breath.	ナツキは息を吸う。
「I...」	「わたし……」	I...	「アタシは……」
「The thing about...」	「その……」	The thing about...	「その……」
「Uu...」	「うう……」	Uu...	「うう……」
Natsuki glances around the room.	ナツキは部屋を見回す。	Natsuki glances around the room.	ナツキは部屋を見回す。
「<i>Would everyone stop staring at me??</i>」	「わたしの方をジロジロ見ないでくれる？？」	<i>Would everyone stop staring at me??</i>	「<i>アタシの方をジロジロ見ないでくれる？？</i>」
Unsurprisingly, Natsuki has a harder time with it than she boasted.	当たり前だが、自慢していた時よりバツが悪そうにしている。	Unsurprisingly, Natsuki has a harder time with it than she boasted.	当たり前だが、自慢していた時よりバツが悪そうにしている。
Sayori and Monika look away.	サヨリとモニカは目をそらした。	Sayori and Monika look away.	サヨリとモニカは目をそらした。
「Hmph.」	「ふん」	Hmph.	「ふん」
「Anyway...!」	「とにかく……！」	Anyway...!	「とにかく……！」
「The thing about your boobs. I didn't mean it, okay?」	「あんたの胸のことに関しては何でもないわ、分かった？」	The thing about your boobs. I didn't mean it, okay?	「アンタの胸のことに関しては本気で言ったんじゃないわ、わかった？」
「That's all.」	「それだけよ」	That's all.	「最高ね」
Natsuki looks away, avoiding eye contact with anyone.	ナツキは明後日の方向を向いて、誰とも目を合わせようとしない。	Natsuki looks away, avoiding eye contact with anyone.	ナツキは明後日の方向を向いて、誰とも目を合わせようとしない。
「Yeah! You're naturally beautiful, Yuri!!」	「そうそう！ ユリちゃんは元からキレイだよ！！」	Yeah! You're naturally beautiful, Yuri!!	「そうそう！ ユリちゃんは元からキレイだよ！！」
「Sayori?!」	「サヨリ！？」	Sayori?!	「サヨリ！？」
「...」	「……」	...	「……」
「I-I'll go make some tea...」	「お、お茶を淹れてきますね……」	I-I'll go make some tea...	「お、お茶を淹れてきますね……」
「Ehh?」	「え～？」	Ehh?	「ええぇ？」
「I was just trying to help!」	「助け舟を出しただけなのにぃ！」	I was just trying to help!	「助け舟を出しただけなのにぃ！」
「I'm sure she appreciated it, Sayori.」	「きっとユリは感謝してると思うぞ、サヨリ」	I'm sure she appreciated it, Sayori.	「きっとユリは感謝してると思うぞ、サヨリ」
I pat Sayori on the shoulder.	俺はサヨリの肩をぽんと叩いた。	I pat Sayori on the shoulder.	俺はサヨリの肩をぽんと叩いた。
「Well, now that we're past that...」	「よし、この話はおしまいにして……」	Well, now that we're past that...	「よし、この話はおしまいにして……」
「Everyone's read each other's poems, right?」	「みんなの詩は見せ合いっこできたわよね？」	Everyone's read each other's poems, right?	「みんなの詩は見せ合いっこできたわよね？」
「I hope that it was worthwhile for everyone!」	「みんなにとって価値のある試みとなったならいいな！」	I hope that it was worthwhile for everyone!	「みんなにとって価値のある試みになったならいいな！」
「Especially you, [player]!」	「特に[player]君にね！」	Especially you, [player]!	「特に[player]君にね！」
「And to be honest...」	「それと、実は……」	And to be honest...	「それと、実は……」
「It's a nice change of pace from the lazing around we got a little too used to.」	「今まではちょっとのんびりしすぎちゃってたから、ペースを変えるには丁度良かったの」	It's a nice change of pace from the lazing around we got a little too used to.	「今まではちょっとのんびりしすぎちゃってたから、ペースを変えるには丁度良かったの」
「Ahahaha!」	「あははは！」	Ahahaha!	「あはははっ！」
「Ah, so my joining the club was responsible for ruining the atmosphere...」	「あー、俺が入部したせいで雰囲気ぶち壊しになっちゃったせいだな……」	Ah, so my joining the club was responsible for ruining the atmosphere...	「あー、俺が入部したせいで雰囲気ぶち壊しになっちゃったんだな……」
「No, not at all, not at all!」	「そんな、全然そんなことないわ！」	No, not at all, not at all!	「そんな、全然そんなことないわ！」
「There's still time before we go home.」	「帰りの時間までまだ余裕があるみたいね」	There's still time before we go home.	「帰りの時間までまだ余裕があるみたいね」
「So we'll all relax for a bit.」	「ちょっと休憩しましょう」	So we'll all relax for a bit.	「ちょっと休憩しましょう」
「Of course, besides chatting, we do literature-related things in the clubroom...」	「もちろん部室内では、おしゃべりしながら文学関連のこともやるから……」	Of course, besides chatting, we do literature-related things in the clubroom...	「もちろん部室内では、おしゃべりしながら文学関連のこともやるから……」
「So maybe you can take the chance to pick up a book, or do some writing.」	「読書や物書きに触れる良い機会になると思うわ」	So maybe you can take the chance to pick up a book, or do some writing.	「読書や物書きに触れる良い機会になると思うわ」
「After all, that's what the club is for!」	「何といっても、そのための部活だしね！」	After all, that's what the club is for!	「何といっても、そのための部活だしね！」
「I disagree, Monika!」	「それは違うよ、モニカちゃん！」	I disagree, Monika!	「それは違うよ、モニカちゃん！」
「Eh? About what?」	「え？ どのあたりが？」	Eh? About what?	「え？ 違っていたかしら？」
「That's not the most important thing about the literature club!」	「文芸部で一番大事なことはそれじゃないよ！」	That's not the most important thing about the literature club!	「文芸部で一番大事なことはそれじゃないよ！」
「The most important thing...」	「一番大事なのは……」	The most important thing...	「一番大事なのは……」
「Is having fun!」	「楽しむこと！」	Is having fun!	「楽しむこと！」
「Ahaha, of course...」	「あはは、そうね……」	Ahaha, of course...	「あはは、そうね……」
「Well, I guess that's why you're the Vice President, Sayori.」	「まあ、あなたが副部長なのも納得だわ、サヨリ」	Well, I guess that's why you're the Vice President, Sayori.	「まあ、あなたが副部長なのも納得だわ、サヨリ」
「Ehehe...」	「えへへ……」	Ehehe...	「だから……えへへ……」
In the end, though, Monika's right.	だが結局のところ、モニカが正しい。	In the end, though, Monika's right.	だが結局のところ、モニカが正しい。
Being in the Literature Club probably means I can't spend all my time doing nothing.	文芸部に所属するからには、俺は何もしないわけにはいかない。	Being in the Literature Club probably means I can't spend all my time doing nothing.	文芸部に所属するからには、俺も何もしないわけにはいかない。
But in the end...	でもやっぱり……	But in the end...	でもやっぱり……
...I guess it's been worth it so far.	……今のところそれだけの価値はあると思っている。	...I guess it's been worth it so far.	……今のところそれだけの価値はあると思っている。
「Natsuki.」	「ナツキ」	Natsuki.	「ナツキ」
「You're right that I liked your poem.」	「お前の詩が好きってのは確かだ」	You're right that I liked your poem.	「お前の詩が好きってのは確かだ」
「See??」	「ほらね？？」	See??	「ほら、見なさいよ！」
「Wait!」	「待った！」	Wait!	「待てよ！」
「That's not an excuse for you to be so mean!」	「だからと言って意地悪していい訳じゃないんだ」	That's not an excuse for you to be so mean!	「だからと言って意地悪していいわけじゃないんだ」
「You shouldn't pick a fight just because someone's opinion is different.」	「誰かと意見が食い違ったとして、それがケンカして良い理由にはならない」	You shouldn't pick a fight just because someone's opinion is different.	「誰かと意見が食い違ったとしても、ケンカして良い理由にはならない」
「That's not what happened at all!」	「そうじゃないわよ！」	That's not what happened at all!	「そうじゃないわよ！」
「Yuri wouldn't even take my poem seriously!」	「ユリはわたしの詩をまともにとり合ってくれないのに！」	Yuri wouldn't even take my poem seriously!	「ユリはわたしの詩をまともに取り合ってくれないの！」
「Mm...」	「うーん……」	Mm...	「うんと……」
「I understand.」	「分かった」	I understand.	「わかった」
「Yuri.」	「ユリ」	Yuri.	「ユリ」
「Eh?」	「えっ？」	Eh?	「えっ？」
「You're a seriously talented writer.」	「お前は本当に才能のある書き手だ」	You're a seriously talented writer.	「お前は本当に才能のある書き手だ」
「It's no secret that I was impressed.」	「俺が感動したのは隠すまでもない」	It's no secret that I was impressed.	「俺が感動したのは隠すまでもない」
「W-Well, that's...」	「そ、そう、その……」	W-Well, that's...	「そ、そう、その……」
「But here's the thing.」	「だが俺が言いたいのは」	But here's the thing.	「けど俺が言いたいのは」
「No matter how simple or refined someone's writing style is...」	「どんなに単純で洗練された文体であっても……」	No matter how simple or refined someone's writing style is...	「どんなに単純で洗練された文体であっても……」
「They're still putting feelings into it, and it becomes something really personal.」	「その中にはやっぱり想いが込められていて、それは至って私的なものなんだ」	They're still putting feelings into it, and it becomes something really personal.	「その中にはやっぱり想いが込められていて、それは至って私的なものなんだ」
「That's why Natsuki felt threatened when you said her poem was cute.」	「だからかわいいと言われたときにナツキは脅かされたと感じたんじゃないか」	That's why Natsuki felt threatened when you said her poem was cute.	「だからかわいいと言われた時に、ナツキは脅かされたと感じたんじゃないか」
「I...see...」	「なるほど……」	I...see...	「なるほど……」
「I didn't notice that I...」	「気づけなくてその……」	I didn't notice that I...	「気づけなくてその……」
「I-I'm sorry...」	「ごめんなさい……」	I-I'm sorry...	「ごめんなさい……」
「Uuu...」	「ううう……」	Uuu...	「うう……」
「But Natsuki, you took it way too far!」	「でもナツキ、お前は過剰反応しすぎだ！」	But Natsuki, you took it way too far!	「でもナツキ、お前は過剰反応しすぎだ！」
「Yuri means well, and if you just told her how you felt...」	「ユリは善かれと思ってやったんだし、もしお前がどういう想いか彼女に話していれば……」	Yuri means well, and if you just told her how you felt...	「ユリは善かれと思ってやったんだし、もしお前がどういう想いか彼女に話していれば……」
「Then this wouldn't have happened in the first place.」	「初めからこんなことにはならなかったんじゃないか」	Then this wouldn't have happened in the first place.	「初めからこんなことにはならなかったんじゃないか」
「Are you kidding?」	「バカにしてるの？」	Are you kidding?	「バカにしてるの？」
「That's exactly what I did!」	「ちゃんとそうしたじゃないの！」	That's exactly what I did!	「ちゃんとそうしたじゃないの！」
「It was <i>her</i> that--」	「それだってあいつが……」	It was <i>her</i> that--	「それだって<i>アイツ</i>が……」
「Natsuki, I think that's enough.」	「ナツキ、それ位にしときましょ」	Natsuki, I think that's enough.	「ナツキ、それくらいにしときましょう」
「You both said some things that you didn't mean.」	「あなたたち二人ともそういうつもりじゃなかったって言ったわよね」	You both said some things that you didn't mean.	「あなたたち、二人ともそういうつもりじゃなかったって言ったわよね」
「Yuri apologized. Don't you think you should, too?」	「ユリは謝ったわ。今度はあなたの番じゃない？」	Yuri apologized. Don't you think you should, too?	「ユリは謝ったわ。今度はあなたの番じゃない？」
「Nnn...!」	「うぬぬ……！」	Nnn...!	「うぬぬ……！」
Natsuki clenches her fists.	ナツキは拳を握りしめる。	Natsuki clenches her fists.	ナツキは拳を握りしめる。
In the end, nobody has taken her side.	とうとう、彼女の味方はいなくなってしまった。	In the end, nobody has taken her side.	とうとう、彼女の味方はいなくなってしまった。
She's trapped, at this point being defiant only because she can't handle the pressure.	窮地に立たされた彼女は、プレッシャーに耐えられないばかりに喧嘩腰になっている。	She's trapped, at this point being defiant only because she can't handle the pressure.	窮地に立たされた彼女は、プレッシャーに耐えられないばかりに喧嘩腰になっている。
I end up even feeling bad for her.	俺はナツキがかわいそうになってきた。	I end up even feeling bad for her.	俺はナツキがかわいそうになってきた。
「U-Um!」	「え、えっと！」	U-Um!	「え、えっと！」
「Sometimes when I'm hurt...」	「わたしが傷ついたときは……」	Sometimes when I'm hurt...	「わたしが傷ついたときは……」
「It helps to take a walk and clear my head!」	「散歩して頭の中をスッキリさせるよ！」	It helps to take a walk and clear my head!	「散歩して頭の中をスッキリさせるよ！」
「Sayori, she doesn't need to--」	「サヨリ、こいつには必要ない――」	Sayori, she doesn't need to--	「サヨリ、こいつには必要ない――」
「You know what?」	「ああそうね」	You know what?	「何よ、まったく！」
「I'm going to do that.」	「そうしてくる」	I'm going to do that.	「そうしてくるわよ」
「It'll spare me from having to look at all your faces right now.」	「あんたたちの顔を拝むのももううんざりだわ」	It'll spare me from having to look at all your faces right now.	「アンタたちの顔を拝むのももううんざりだわ」
Without warning, Natsuki snatches her own poem up from the desk and storms out.	なんの前触れなく、ナツキは机にある自分の詩を取り上げ部屋から飛び出した。	Without warning, Natsuki snatches her own poem up from the desk and storms out.	何の前触れもなく、ナツキは机にある自分の詩を取り上げ部屋から飛び出した。
On her way out, she crumples up the poem with her hands and throws it in the trash.	出て行く際に彼女は、その詩をくしゃくしゃに丸めゴミ箱に投げ込む。	On her way out, she crumples up the poem with her hands and throws it in the trash.	出て行く際に彼女は、その詩をくしゃくしゃに丸めゴミ箱に投げ込む。
「Natsuki...」	「ナツキちゃん……」	Natsuki...	「ナツキ……」
「She really didn't need to do that...」	「そこまでする必要ないのに……」	She really didn't need to do that...	「そこまでする必要ないのに……」
I look across the room.	俺は部屋を見渡す。	I look across the room.	俺は部屋を見渡す。
Yuri has her chin buried in her hands while she stares down at her desk.	ユリは視線を机に落とし、手で口を覆っている。	Yuri has her chin buried in her hands while she stares down at her desk.	ユリは視線を机に落とし、手で口を覆っている。
I gingerly approach her and sit in an adjacent chair.	俺は恐る恐る彼女に近づき、隣の席に座る。	I gingerly approach her and sit in an adjacent chair.	俺は恐る恐る彼女に近づき、隣の席に座る。
「Sigh...」	「はあ……」	Sigh...	「はあ……」
「Everything alright?」	「大丈夫か？」	Everything alright?	「大丈夫か？」
「I'm so embarrassed...」	「自分が情けないです……」	I'm so embarrassed...	「自分が情けないです……」
「I can't believe I acted like that.」	「あんな風に振舞ってしまうなんて」	I can't believe I acted like that.	「あんな風に振舞ってしまうなんて」
「You probably hate me now...」	「きっとあなたに嫌われてしまいましたね……」	You probably hate me now...	「きっとあなたに嫌われてしまいましたね……」
「No--Yuri!」	「そんなことない――ユリ！」	No--Yuri!	「そんなことない――ユリ！」
「How could anyone not have gotten frustrated after being treated like that?」	「あんな風に言われて不満を抱かない奴がいると思うか？」	How could anyone not have gotten frustrated after being treated like that?	「あんな風に言われて不満を抱かない奴がいると思うか？」
「You handled it as well as anyone could.」	「お前はできるだけ我慢したじゃないか」	You handled it as well as anyone could.	「お前はできるだけ我慢したじゃないか」
「I don't think any less of you.」	「嫌ったりなんかしないよ」	I don't think any less of you.	「嫌ったりなんかしないよ」
「Well...」	「そう……」	Well...	「今度は……」
「...Alright, I believe you.」	「……それなら、あなたの言葉を信じます」	...Alright, I believe you.	「……それなら、あなたの言葉を信じます」
「Thanks, [player]. You're too kind.」	「ありがとうございます、[player]さん。あなたはとても優しいんですね」	Thanks, [player]. You're too kind.	「ありがとうございます、[player]さん。あなたはとても優しいんですね」
「I'm thankful to have you a part of this club now.」	「部活の一員になっていただいて感謝しています」	I'm thankful to have you a part of this club now.	「部活の一員になっていただいて感謝しています」
「Er-- It's nothing.」	「そんな――何てことないさ」	Er-- It's nothing.	「そんな――何てことないさ」
「One more thing...」	「それともう一つ……」	One more thing...	「それと、もう一つ……」
「Um, that one thing that Natsuki said...」	「その、ナツキちゃんが言ってたことで……」	Um, that one thing that Natsuki said...	「その、ナツキちゃんが言っていたことで……」
「About...you know...」	「あの……ええと……」	About...you know...	「あの……ええと……」
「I would never do anything...so shameful...」	「そんな破廉恥なことは……決してしないので……」	I would never do anything...so shameful...	「そんな破廉恥なことは……決してしないので……」
「So...」	「ですので……」	So...	「それで……」
「...Eh?」	「……えっ？」	...Eh?	「……んっ？」
「What thing did Natsuki say?」	「ナツキが何か言ったか？」	What thing did Natsuki say?	「ナツキが何か言ったか？」
「--!」	「――！」	--!	「――っ！」
「U-Um!」	「あ、あの！」	U-Um!	「え、えっと！」
「Well, never mind that...」	「その、なんでもありません……」	Well, never mind that...	「その、何でもありません……」
「I-I'm going to go make some tea...」	「お、お茶を淹れてきますね……」	I-I'm going to go make some tea...	「お、お茶を淹れてきますね……」
「Ah, good idea.」	「ああ、いいんじゃないか」	Ah, good idea.	「ああ、いいんじゃないか」
「Make enough for more than one person, okay?」	「人数分用意してきてくれ、な？」	Make enough for more than one person, okay?	「人数分用意してきてくれ、な？」
「Y-Yeah.」	「わ、分かりました」	Y-Yeah.	「わ、わかりました」
「N-Natsuki...」	「な、ナツキ……」	N-Natsuki...	「な、ナツキ……」
Natsuki glares at me, drying up any words I had in my mouth.	ナツキに睨まれ、俺は一言も発せなくなる。	Natsuki glares at me, drying up any words I had in my mouth.	ナツキに睨まれ、俺は一言も発せなくなる。
So instead, I turn to Yuri.	その代わりにユリの方を向く。	So instead, I turn to Yuri.	その代わりにユリの方を向く。
「Yuri...」	「ユリ……」	Yuri...	「ユリ……」
「...」	「……」	...	「……」
But Yuri's expression is so defenseless that I can't bring myself to say anything to her.	しかし彼女の表情が無防備すぎて、俺は言うのをためらってしまう。	But Yuri's expression is so defenseless that I can't bring myself to say anything to her.	しかし彼女の表情が無防備すぎて、俺は言うのをためらってしまう。
「...」	「……」	...	「……」
「...Sayori!」	「……サヨリ！」	...Sayori!	「……サヨリ！」
「Eh?!」	「えっ！？」	Eh?!	「えっ！？」
「...Yeah!」	「……そうだ！」	...Yeah!	「……そうだ！」
「Everyone's fighting is making Sayori uncomfortable.」	「お前たちがケンカするからサヨリが困っているじゃないか」	Everyone's fighting is making Sayori uncomfortable.	「お前たちがケンカするからサヨリが困っているじゃないか」
